"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"6080","https://www.instagram.com/tasneems.henna/","Instagram","6030","5714107622"
"6081","https://www.instagram.com/coreondu","Instagram","6031","271525364"
"6082","https://www.instagram.com/pedrofernandooficial","Instagram","6032","1372048179"
"6083","https://www.instagram.com/simplypalesa/","Instagram","6033","50819700"
"6084","https://www.instagram.com/discoveringnatural/","Instagram","6034","206897003"
"6085","https://www.instagram.com/barbie_lloi","Instagram","6035",
"6086","https://www.instagram.com/tasneem.abdulla/","Instagram","6036","1469417201"
"6087","https://www.instagram.com/kaluhiskitchen/","Instagram","6037","1521335501"
"6088","https://www.instagram.com/nazyxo/","Instagram","6038","55906696"
"6089","https://www.instagram.com/wilsondesigner/","Instagram","6039","2309995238"
"6090","https://www.instagram.com/Lauries_blog/","Instagram","6040","1296930115"
"6091","https://www.instagram.com/angodiva/","Instagram","6041","1976053615"
"6092","https://www.instagram.com/laurie_frempong/","Instagram","6042","192752197"
"6093","https://www.instagram.com/itspedrodneto","Instagram","6043",
"6094","https://www.instagram.com/wilsonphotographer/","Instagram","6044","336924504"
"6095","https://www.instagram.com/celson_dps","Instagram","6045",
"6096","https://www.instagram.com/marklyndon360/","Instagram","6046","16446670"
"6097","https://www.instagram.com/omaribanks11/","Instagram","6047",
"6098","https://www.instagram.com/whatwedoinanguilla/","Instagram","6048","3110664904"
"6099","https://www.instagram.com/iam_indy/","Instagram","6049","12131466"
"6100","https://www.instagram.com/kristasimmons/","Instagram","6050","3402872"
"6151","https://www.instagram.com/sugsean/","Instagram","6101","312543205"
"6152","https://www.instagram.com/wheretopeanut/","Instagram","6102","1542207702"
"6153","https://www.instagram.com/zharnel_hughes/","Instagram","6103","897482710"
"6154","https://www.instagram.com/breezeturner/","Instagram","6104","41931769"
"6155","https://www.instagram.com/luciebfink/","Instagram","6105","17142291"
"6156","https://www.instagram.com/bontyaxa/","Instagram","6106","273754250"
"6157","https://www.instagram.com/iamgalla/","Instagram","6107","13528260"
"6158","https://www.instagram.com/progressive_calisthenics/","Instagram","6108","22643011"
"6159","https://www.instagram.com/winonaladuke","Instagram","6109","3313755688"
"6160","https://www.instagram.com/leomessi/","Instagram","6110","427553890"
"6161","https://www.instagram.com/paulnicklen","Instagram","6111","195976455"
"6162","https://www.instagram.com/mattadlard/","Instagram","6112","1835948012"
"6163","https://www.instagram.com/thebucketlistfamily/","Instagram","6113","2046124355"
"6164","https://www.instagram.com/taza","Instagram","6114","719632"
"6165","https://www.instagram.com/jeffreestar/","Instagram","6115","1559944"
"6166","https://www.instagram.com/nick_knight/","Instagram","6116","24457708"
"6167","https://www.instagram.com/lucymountain/","Instagram","6117","510039340"
"6168","https://www.instagram.com/emrata/","Instagram","6118","1999824"
