"INFLUENCER_ID","COUNTRY_CODE"
"7050","Bahrain"
"7101","Bahrain"
"7102","Bahrain"
"7103","Bahrain"
"7104","Bahrain"
"7105","Bahrain"
"7106","Bahrain"
"7107","Bahrain"
"7108","Bahrain"
"7109","Bahrain"
"7110","Bahrain"
"7111","Bahrain"
"7112","Bahrain"
"7113","Bahrain"
"7114","Bahrain"
"7115","Bahrain"
"7116","Bahrain"
"7117","Bahrain"
"7118","Bahrain"
"7119","Bahrain"
"7120","Bahrain"
"7121","Bahrain"
"7122","Bahrain"
"7123","Bahrain"
"7124","Bahrain"
"7125","Bahrain"
"7126","Bahrain"
"7127","Bahrain"
"7128","Bahrain"
"7129","Bahrain"
"7130","Bahrain"
"7131","Bahrain"
"7132","Bahrain"
"7133","Bahrain"
"7134","Bahrain"
"7135","Bahrain"
"7136","Bahrain"
"7137","Bahrain"
"7138","Bahrain"
"7139","Bahrain"
"7140","Bahrain"
"7141","Bahrain"
"7142","Bahrain"
"7143","Bahrain"
"7144","Bahrain"
"7145","Bahrain"
"7146","Bahrain"
"7147","Bahrain"
"7148","Bahrain"
"7149","Bahrain"
"7150","Bahrain"
"7201","Bahrain"
"7202","Bahrain"
"7203","Bahrain"
"7204","Bahrain"
"7205","Bahrain"
"7206","Bahrain"
"7207","Bangladesh"
"7208","Bangladesh"
"7209","Bangladesh"
"7210","Bangladesh"
"7211","Bangladesh"
"7212","Bangladesh"
"7213","Bangladesh"
"7214","Bangladesh"
"7215","Bangladesh"
"7216","Bangladesh"
"7217","Bangladesh"
"7218","Bangladesh"
"7219","Bangladesh"
"7220","Bangladesh"
"7221","Bangladesh"
"7222","Bangladesh"
"7223","Bangladesh"
"7224","Bangladesh"
"7225","Bangladesh"
"7226","Bangladesh"
"7227","Bangladesh"
"7228","Bangladesh"
"7229","Bangladesh"
"7230","Bangladesh"
"7231","Bangladesh"
"7232","Bangladesh"
"7233","Bangladesh"
"7234","Bangladesh"
"7235","Bangladesh"
"7236","Barbados"
"7237","Barbados"
"7238","Belarus"
"7239","Belarus"
"7240","Belarus"
"7241","Belarus"
"7242","Belarus"
"7243","Belarus"
"7244","Belarus"
"7245","Belarus"
"7246","Belarus"
"7247","Belarus"
"7248","Belarus"
"7249","Belarus"
"7250","Belarus"
"7301","Belarus"
"7302","Belarus"
"7303","Belarus"
"7304","Belarus"
"7305","Belarus"
"7306","Belarus"
"7307","Belarus"
"7308","Belarus"
"7309","Belarus"
"7310","Belarus"
"7311","Belarus"
"7312","Belarus"
"7313","Belarus"
"7314","Belarus"
"7315","Belarus"
"7316","Belgium"
"7317","Belgium"
"7318","Belgium"
"7319","Belgium"
"7320","Belgium"
"7321","Belgium"
"7322","Belgium"
"7323","Belgium"
"7324","Belgium"
"7325","Belgium"
"7326","Belgium"
"7327","Belgium"
"7328","Belgium"
"7329","Belgium"
"7330","Belgium"
"7331","Belgium"
"7332","Belgium"
"7333","Belgium"
"7334","Belgium"
"7335","Belgium"
"7336","Belgium"
"7337","Belgium"
"7338","Belgium"
"7339","Belgium"
"7340","Belgium"
"7341","Belgium"
"7342","Belgium"
"7343","Belgium"
"7344","Belgium"
"7345","Belgium"
"7346","Belgium"
"7347","Belgium"
"7348","Belgium"
"7349","Belgium"
"7350","Belgium"
"7401","Belgium"
"7402","Belgium"
"7403","Belgium"
"7404","Belgium"
"7405","Belgium"
"7406","Belgium"
"7407","Belgium"
"7408","Belgium"
"7409","Belgium"
"7410","Belgium"
"7411","Belgium"
"7412","Belgium"
"7413","Belgium"
"7414","Belgium"
"7415","Belgium"
"7416","Belgium"
"7417","Belgium"
"7418","Belgium"
"7419","Belgium"
"7420","Belgium"
"7421","Belgium"
"7422","Belgium"
"7423","Belgium"
"7424","Belgium"
"7425","Belgium"
"7426","Belgium"
"7427","Belgium"
"7428","Benin"
"7429","Benin"
"7430","Benin"
"7431","Benin"
"7432","Benin"
"7433","Benin"
"7434","Benin"
"7435","Benin"
"7436","Benin"
"7437","Benin"
"7438","Benin"
"7439","Benin"
"7440","Benin"
"7441","Benin"
"7442","Benin"
"7443","Bermuda"
"7444","Bermuda"
"7445","Bermuda"
"7446","Bermuda"
"7447","Bermuda"
"7448","Bermuda"
"7449","Bermuda"
"7450","Bermuda"
"7501","Bermuda"
"7502","Bermuda"
"7503","Bermuda"
"7504","Bermuda"
"7505","Bermuda"
"7506","Bermuda"
"7507","Bermuda"
"7508","Bermuda"
"7509","Bermuda"
"7510","Bermuda"
"7511","Benin"
"7512","Benin"
"7513","Bolivia, Plurinational State of"
"7514","Bolivia, Plurinational State of"
"7515","Bolivia, Plurinational State of"
"7516","Bolivia, Plurinational State of"
"7517","Bolivia, Plurinational State of"
"7518","Bolivia, Plurinational State of"
"7519","Bolivia, Plurinational State of"
"7520","Bolivia, Plurinational State of"
"7521","Bolivia, Plurinational State of"
"7522","Bolivia, Plurinational State of"
"7523","Bolivia, Plurinational State of"
"7524","Bolivia, Plurinational State of"
"7525","Bolivia, Plurinational State of"
"7526","Bolivia, Plurinational State of"
"7527","Bolivia, Plurinational State of"
"7528","Bolivia, Plurinational State of"
"7529","Bolivia, Plurinational State of"
"7530","Bolivia, Plurinational State of"
"7531","Bolivia, Plurinational State of"
"7532","Bolivia, Plurinational State of"
"7533","Bolivia, Plurinational State of"
"7534","Bolivia, Plurinational State of"
"7535","Bolivia, Plurinational State of"
"7536","Bolivia, Plurinational State of"
"7537","Bolivia, Plurinational State of"
"7538","Bolivia, Plurinational State of"
"7539","Bolivia, Plurinational State of"
"7540","Bolivia, Plurinational State of"
"7541","Bolivia, Plurinational State of"
"7542","Bolivia, Plurinational State of"
"7543","Bolivia, Plurinational State of"
"7544","Bolivia, Plurinational State of"
"7545","Bolivia, Plurinational State of"
"7546","Bonaire, Sint Eustatius and Saba"
"7547","Bonaire, Sint Eustatius and Saba"
"7548","Bonaire, Sint Eustatius and Saba"
"7549","Bosnia and Herzegovina"
"7550","Bosnia and Herzegovina"
"7601","Bosnia and Herzegovina"
"7602","Bosnia and Herzegovina"
"7603","Bosnia and Herzegovina"
"7604","Bosnia and Herzegovina"
"7605","Bosnia and Herzegovina"
"7606","Bosnia and Herzegovina"
"7607","Bosnia and Herzegovina"
"7608","Bosnia and Herzegovina"
"7609","Bosnia and Herzegovina"
"7610","Bosnia and Herzegovina"
"7611","Bosnia and Herzegovina"
"7612","Bosnia and Herzegovina"
"7613","Bosnia and Herzegovina"
"7614","Bosnia and Herzegovina"
"7615","Bosnia and Herzegovina"
"7616","Bosnia and Herzegovina"
"7617","Bosnia and Herzegovina"
"7618","Bosnia and Herzegovina"
"7619","Bosnia and Herzegovina"
"7620","Bosnia and Herzegovina"
"7621","Bosnia and Herzegovina"
"7622","Bosnia and Herzegovina"
"7623","Bosnia and Herzegovina"
"7624","Bosnia and Herzegovina"
"7625","Bosnia and Herzegovina"
"7626","Bosnia and Herzegovina"
"7627","Bosnia and Herzegovina"
"7628","Bosnia and Herzegovina"
"7629","Bosnia and Herzegovina"
"7630","Bosnia and Herzegovina"
"7631","Bosnia and Herzegovina"
"7632","Bosnia and Herzegovina"
"7633","Bosnia and Herzegovina"
"7634","Bosnia and Herzegovina"
"7635","Bosnia and Herzegovina"
"7636","Bosnia and Herzegovina"
"7637","Bosnia and Herzegovina"
"7638","Bosnia and Herzegovina"
"7639","Bosnia and Herzegovina"
"7640","Bosnia and Herzegovina"
"7641","Bosnia and Herzegovina"
"7642","Bosnia and Herzegovina"
"7643","Bosnia and Herzegovina"
"7644","Bosnia and Herzegovina"
"7645","Bosnia and Herzegovina"
"7646","Botswana"
"7647","Botswana"
"7648","Botswana"
"7649","Botswana"
"7650","Botswana"
"7701","Botswana"
"7702","Botswana"
"7703","Botswana"
"7704","Botswana"
"7705","Botswana"
"7706","Botswana"
"7707","Botswana"
"7708","Botswana"
"7709","Botswana"
"7710","Botswana"
"7711","Botswana"
"7712","Botswana"
"7713","Botswana"
"7714","Botswana"
"7715","Botswana"
"7716","Botswana"
